bad_Female_Twenty,47954
bad_Female_Twenty-five,48818
bad_Female_Thirty,47287
bad_Female_Thirty-five,48527
bad_Female_Forty,50385
bad_Female_Forty-five,54718
bad_Female_Fifty,52372
bad_Female_Fifty-five,47908
bad_Female_Sixty,40984
bad_Female_Sixty-five,39378
bad_Man_Twenty,45052
bad_Man_Twenty-five,51300
bad_Man_Thirty,49051
bad_Man_Thirty-five,49739
bad_Man_Forty,48500
bad_Man_Forty-five,51193
bad_Man_Fifty,49744
bad_Man_Fifty-five,45450
bad_Man_Sixty,39503
bad_Man_Sixty-five,40255
soso_Female_Twenty,53930
soso_Female_Twenty-five,54307
soso_Female_Thirty,52740
soso_Female_Thirty-five,54154
soso_Female_Forty,55950
soso_Female_Forty-five,60838
soso_Female_Fifty,57882
soso_Female_Fifty-five,52947
soso_Female_Sixty,45176
soso_Female_Sixty-five,43107
soso_Man_Twenty,50761
soso_Man_Twenty-five,57187
soso_Man_Thirty,54373
soso_Man_Thirty-five,55357
soso_Man_Forty,53862
soso_Man_Forty-five,56753
soso_Man_Fifty,54619
soso_Man_Fifty-five,49970
soso_Man_Sixty,43263
soso_Man_Sixty-five,43281
